{'elevation': 19.0, 'canting': 7.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.9038123755741299, 'frequency': 35.5, 'n': (4.927401031202501+2.7338292434245637j), 'wl': 8.444857971830986, 'prefactor': 0.05438238468879906}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,5.438215952841212e-14,5.4382159528412583e-14,8.75212211683535e-08,5.4382384688799066e-14,1.2807527807522556e-23,1.0
0.02,3.4804139409063964e-12,3.480413940906426e-12,7.005607806472649e-07,3.4804726200831402e-12,0.0,1.0
0.03,3.96432490595798e-11,3.9643249059580146e-11,2.3665999193136022e-06,3.9644758438134505e-11,5.123011123009022e-22,1.0
0.04,2.2273517103308992e-10,2.2273517103309186e-10,5.617069717384873e-06,2.2275024768532097e-10,8.196817796814436e-22,1.0
0.05,8.496348971168623e-10,8.496348971168698e-10,1.0989373671620347e-05,8.497247607624856e-10,1.6393635593628872e-21,1.0
0.060000000000000005,2.5368783314798636e-09,2.536878331479885e-09,1.902893816314188e-05,2.5372645400406104e-09,0.0,1.0
0.06999999999999999,6.396708998611798e-09,6.396708998611853e-09,3.0291315422971815e-05,6.398033176252517e-09,3.2787271187257744e-21,1.0
0.08,1.4252167373415091e-08,1.425216737341521e-08,4.534430924315113e-05,1.4256015851860542e-08,3.2787271187257744e-21,1.0
0.09,2.88911769416749e-08,2.889117694167514e-08,6.477017701857995e-05,2.8901028901400052e-08,9.836181356177324e-21,1.0
0.09999999999999999,5.435954641718129e-08,5.4359546417181765e-08,8.916783757884097e-05,5.4382384688799034e-08,0.0,1.0
0.11,9.62929001673707e-08,9.629290016737154e-08,0.00011915517137922369,9.634171180167355e-08,0.0,1.0
0.12,1.6228733373106055e-07,1.6228733373106193e-07,0.00015537136435516059,1.6238493056259893e-07,1.3114908474903098e-20,1.0
0.13,2.6230888559584644e-07,2.623088855958486e-07,0.00019847931019040051,2.624933838573576e-07,1.3114908474903098e-20,1.0
0.14,4.091416857677488e-07,4.091416857677523e-07,0.00024916806487693577,4.0947412328016155e-07,0.0,1.0
0.15000000000000002,6.188745540470126e-07,6.188745540470177e-07,0.00030815537726538707,6.194493505958523e-07,1.3114908474903098e-20,1.0
0.16,9.114264393025252e-07,9.114264393025331e-07,0.00037619032054262737,9.123850145190747e-07,2.6229816949806195e-20,1.0
0.17,1.3111098038651428e-06,1.311109803865154e-06,0.0004540559053568894,1.3126585628104314e-06,5.245963389961239e-20,1.0
0.18000000000000002,1.847233079286615e-06,1.8472330792866303e-06,0.0005425719574081362,1.8496658496896053e-06,5.245963389961239e-20,1.0
0.19,2.5547411621625874e-06,2.5547411621626095e-06,0.0006425977926135458,2.5584671985654626e-06,5.245963389961239e-20,1.0
0.2,3.4748933699274112e-06,3.4748933699274405e-06,0.0007550351918216373,3.480472620083141e-06,0.0,1.0
0.21000000000000002,4.65598221257534e-06,4.6559822125753796e-06,0.0008808315950834799,4.66416618548809e-06,0.0,1.0
0.22,6.1540865993291895e-06,6.15408659932924e-06,0.001020982887654505,6.165869555307107e-06,5.245963389961239e-20,1.0
0.23,8.033866368165195e-06,8.033866368165262e-06,0.0011765368780852648,8.050544663346359e-06,5.245963389961239e-20,1.0
0.24000000000000002,1.0369396994466852e-05,1.0369396994466941e-05,0.0013485964907388012,1.039263555600634e-05,1.0491926779922478e-19,1.0
0.25,1.3245034305519415e-05,1.3245034305519532e-05,0.0015383228941718082,1.3276949386913833e-05,2.0983853559844956e-19,1.0
