,Ze_tmm,Ze_ray,A,Ze_inst,rr
2025-06-05 23:59:58+00:00,,,0.0,,
2025-06-06 00:00:58+00:00,,,0.0,,0.0
2025-06-06 00:01:58+00:00,,,0.0,,0.0
2025-06-06 00:02:58+00:00,,,0.0,,0.0
2025-06-06 00:03:58+00:00,,,0.0,,0.0
2025-06-06 00:04:58+00:00,,,0.0,,0.0
2025-06-06 00:05:58+00:00,,,0.0,,0.0
2025-06-06 00:06:58+00:00,,,0.0,,0.0
2025-06-06 00:07:58+00:00,5.268585257651271,4.358102459880718,0.011465794174587466,4.153,0.027
2025-06-06 00:08:58+00:00,4.0834350076508,3.2390723986107384,0.009728883646262712,3.114,0.022
2025-06-06 00:09:58+00:00,10.181982603746745,9.208331559413203,0.0336549549541459,9.161,0.081
2025-06-06 00:10:58+00:00,11.778394421860677,10.885230982655688,0.05954812227307704,10.549,0.143
2025-06-06 00:11:58+00:00,2.4658317359609874,1.7946407273231926,0.009590562944674745,0.325,0.02
2025-06-06 00:12:58+00:00,-0.8626422526001015,-1.4580807928019563,0.004862346664059314,-1.863,0.012
2025-06-06 00:13:58+00:00,2.6711147257713934,1.8737559896962328,0.007696679776412196,1.759,0.022
2025-06-06 00:14:58+00:00,-0.6830953461705964,-1.2248966919123163,0.005381267905337664,-2.761,0.008
2025-06-06 00:15:58+00:00,-1.543607334418253,-2.11048487213839,0.004395231499366459,-2.505,0.008
2025-06-06 00:16:58+00:00,,,0.0,,0.0
2025-06-06 00:17:58+00:00,,,0.0,,0.0
2025-06-06 00:18:58+00:00,,,0.0,,0.0
2025-06-06 00:19:58+00:00,,,0.0,,0.0
2025-06-06 00:20:58+00:00,,,0.0,,0.0
2025-06-06 00:21:58+00:00,,,0.0,,0.0
2025-06-06 00:22:58+00:00,,,0.0,,0.0
2025-06-06 00:23:58+00:00,,,0.0,,0.0
2025-06-06 00:24:58+00:00,,,0.0,,0.0
2025-06-06 00:25:58+00:00,,,0.0,,0.0
2025-06-06 00:26:58+00:00,,,0.0,,0.0
2025-06-06 00:27:58+00:00,,,0.0,,0.0
2025-06-06 00:28:58+00:00,,,0.0,,0.0
2025-06-06 00:29:58+00:00,-0.6280220737010701,-1.2778541091802866,0.004318485541532784,-1.613,0.011
2025-06-06 00:30:58+00:00,1.2259047314793174,0.656468055057964,0.008538280015168228,0.204,0.021
2025-06-06 00:31:58+00:00,4.439361152685596,3.7829323663247383,0.014343621963826034,3.482,0.04
2025-06-06 00:32:58+00:00,5.361228664910122,4.729967088212551,0.01885524008987226,4.458,0.042
2025-06-06 00:33:58+00:00,-2.247410572322373,-2.6928058178904424,0.004580969594138043,-3.032,0.011
2025-06-06 00:34:58+00:00,,,0.0,,0.0
2025-06-06 00:35:58+00:00,,,0.0,,0.0
2025-06-06 00:36:58+00:00,,,0.0,,0.0
2025-06-06 00:37:58+00:00,4.288698028009331,3.6655653681323317,0.014872395817247253,3.389,0.038
2025-06-06 00:38:58+00:00,7.086763044970075,6.434773409349531,0.026199709245556996,5.752,0.047
2025-06-06 00:39:58+00:00,12.760131234013297,12.09206780779036,0.09249546461033187,11.118,0.184
2025-06-06 00:40:58+00:00,14.181726676608221,13.562484631952085,0.13894887428154856,13.199,0.374
